Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D34,MI00004781,20,Abitazioni civili,NORMALE,P,2600,3600,L,9.0,11.9,L,2023_1,Milano,3100.0,10.45
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D34,MI00004781,20,Abitazioni civili,OTTIMO, ,3700,4600,L,12.0,15.5,L,2023_1,Milano,4150.0,13.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D35,MI00004782,20,Abitazioni civili,OTTIMO, ,3800,4500,L,11.0,15.0,L,2023_1,Milano,4150.0,13.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D35,MI00004782,20,Abitazioni civili,NORMALE,P,2300,3700,L,7.0,10.9,L,2023_1,Milano,3000.0,8.95
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D36,MI00004783,20,Abitazioni civili,OTTIMO, ,4000,5700,L,11.4,17.0,L,2023_1,Milano,4850.0,14.2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D36,MI00004783,20,Abitazioni civili,NORMALE,P,2800,3900,L,8.0,11.3,L,2023_1,Milano,3350.0,9.65
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E5,MI00004784,20,Abitazioni civili,NORMALE,P,2050,2850,L,7.3,9.7,L,2023_1,Milano,2450.0,8.5
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E5,MI00004784,20,Abitazioni civili,OTTIMO, ,2900,3500,L,9.8,12.5,L,2023_1,Milano,3200.0,11.15
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E6,MI00004785,20,Abitazioni civili,NORMALE,P,2200,2900,L,8.4,11.4,L,2023_1,Milano,2550.0,9.9
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E6,MI00004785,20,Abitazioni civili,OTTIMO, ,2950,3800,L,11.5,15.0,L,2023_1,Milano,3375.0,13.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E7,MI00004786,20,Abitazioni civili,NORMALE,P,1700,2350,L,5.2,7.8,L,2023_1,Milano,2025.0,6.5
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E7,MI00004786,20,Abitazioni civili,OTTIMO, ,2400,2650,L,7.9,10.5,L,2023_1,Milano,2525.0,9.2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E8,MI00004787,20,Abitazioni civili,OTTIMO, ,1950,2850,L,7.6,11.5,L,2023_1,Milano,2400.0,9.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,E,E8,MI00004787,20,Abitazioni civili,NORMALE,P,1550,1900,L,6.0,7.5,L,2023_1,Milano,1725.0,6.75
NORD-OVEST,LOMBARDIA,MI,3015002,C1AC, ,A010,ABBIATEGRASSO,B,B1,MI00004564,20,Abitazioni civili,OTTIMO,P,1900,2300,L,7.1,8.2,L,2023_1,Milano,2100.0,7.6499999999999995
NORD-OVEST,LOMBARDIA,MI,3015002,C1AC, ,A010,ABBIATEGRASSO,B,B1,MI00004564,20,Abitazioni civili,NORMALE, ,1400,1850,L,5.5,7.0,L,2023_1,Milano,1625.0,6.25
NORD-OVEST,LOMBARDIA,MI,3015002,C1AC, ,A010,ABBIATEGRASSO,C,C1,MI00004565,20,Abitazioni civili,OTTIMO,P,1800,2300,L,6.4,8.9,L,2023_1,Milano,2050.0,7.65
